,County Name,Civilian_labor_force_2019,Civilian_labor_force_2020,Median_Household_Income_2019,PCTPOVALL_2019
2698,Rains County,4,173,224,13.4
2699,Randall County,2,"1,537","1,551",9.0
2700,Reagan County,6,57,55,8.9
2701,Real County,10,62,73,17.7
2702,Red River County,6,336,549,19.6
2703,Reeves County,8,450,366,22.1
2704,Refugio County,6,159,165,18.0
2705,Roberts County,10,13,13,7.4
2706,Robertson County,2,326,348,20.7
2707,Rockwall County,1,741,"1,048",4.8
2708,Runnels County,6,254,235,17.2
2709,Rusk County,2,"1,058","1,096",15.4
2710,Sabine County,7,323,389,17.6
2711,San Augustine County,10,200,214,22.5
2712,San Jacinto County,4,446,477,16.8
2713,San Patricio County,2,"1,640","1,655",14.4
2714,San Saba County,9,120,126,20.7
2715,Schleicher County,7,57,51,15.0
2716,Scurry County,8,353,381,14.7
2717,Shackelford County,7,57,55,12.7
2718,Shelby County,9,601,642,21.4
2719,Sherman County,10,45,47,11.1
2720,Smith County,2,"3,859","4,277",12.9
2721,Somervell County,1,145,153,9.4
2722,Starr County,5,"3,007","2,952",32.5
2723,Stephens County,11,190,180,17.0
2724,Sterling County,7,24,27,10.7
2725,Stonewall County,12,36,37,15.1
2726,Sutton County,11,84,75,13.1
2727,Swisher County,6,158,164,20.6
2728,Tarrant County,1,"28,668","35,459",10.2
2729,Taylor County,2,"2,527","2,710",14.0
2730,Terrell County,12,20,25,17.5
2731,Terry County,6,279,310,21.6
2732,Throckmorton County,12,34,31,13.9
2733,Titus County,8,570,601,16.3
2734,Tom Green County,2,"2,011","1,989",12.9
2735,Travis County,1,"15,031","21,601",10.8
2736,Trinity County,8,311,331,17.9
2737,Tyler County,6,541,590,17.2
2738,Upshur County,2,819,875,14.9
2739,Upton County,7,74,65,13.8
2740,Uvalde County,3,660,735,19.8
2741,Val Verde County,8,"1,104","1,111",20.8
2742,Van Zandt County,4,910,"1,046",13.6
2743,Victoria County,2,"1,626","1,839",14.3
2744,Walker County,3,"1,187","1,322",21.4
2745,Waller County,1,686,690,13.2
2746,Ward County,6,282,253,12.4
2747,Washington County,3,570,554,10.6
2748,Webb County,2,"4,383","4,790",20.9
2749,Wharton County,3,881,940,16.4
2750,Wheeler County,10,108,105,11.6
2751,Wichita County,2,"2,861","2,795",13.9
2752,Wilbarger County,5,276,273,14.9
2753,Willacy County,5,731,791,30.5
2754,Williamson County,1,"4,044","6,307",5.4
2755,Wilson County,1,574,670,8.3
2756,Winkler County,6,170,164,12.5
2757,Wise County,1,887,"1,057",8.3
2758,Wood County,6,834,904,14.3
2759,Yoakum County,9,178,151,10.6
2760,Young County,11,448,432,13.6
2761,Zapata County,5,325,302,30.1
2762,Zavala County,9,469,498,29.6
2763,Beaver County,9,93,113,8.9
2764,Box Elder County,2,741,933,7.5
2765,Cache County,2,"1,337","1,704",13.1
2766,Carbon County,8,519,574,16.4
2767,Daggett County,10,18,22,6.7
2768,Davis County,2,"3,726","4,910",5.5
2769,Duchesne County,9,301,351,14.2
2770,Emery County,10,226,315,10.9
2771,Garfield County,12,169,203,9.4
2772,Grand County,11,305,325,12.2
2773,Iron County,5,547,771,13.1
2774,Juab County,2,133,183,9.0
2775,Kane County,6,115,134,9.4
2776,Millard County,11,178,229,11.8
2777,Morgan County,2,117,133,4.0
2778,Piute County,12,28,44,15.7
2779,Rich County,7,31,37,9.3
2780,Salt Lake County,1,"15,305","21,331",9.0
2781,San Juan County,9,376,380,21.9
2782,Sanpete County,6,425,532,13.1
2783,Sevier County,11,322,391,12.1
2784,Summit County,3,632,868,4.7
2785,Tooele County,1,742,"1,012",5.3
2786,Uintah County,8,481,538,11.1
2787,Utah County,2,"5,297","7,436",9.7
2788,Wasatch County,3,272,354,5.0
2789,Washington County,2,"1,377","1,713",9.5
2790,Wayne County,12,60,73,11.8
2791,Weber County,2,"4,236","5,218",6.9
2792,Addison County,6,521,625,7.9
2793,Bennington County,5,588,759,10.0
2794,Caledonia County,9,521,619,12.3
2795,Chittenden County,2,"1,941","2,385",10.5
2796,Essex County,8,131,138,14.8
2797,Franklin County,2,727,891,9.6
2798,Grand Isle County,2,148,160,8.1
2799,Lamoille County,7,427,481,9.1
2800,Orange County,8,380,443,9.4
2801,Orleans County,11,571,685,12.7
2802,Rutland County,5,"1,058","1,192",10.8
2803,Washington County,5,893,"1,092",8.4
2804,Windham County,9,686,771,11.6
2805,Windsor County,8,777,910,9.2
2806,Accomack County,6,538,634,16.4
2807,Albemarle County,2,743,979,6.7
2808,Alleghany County,6,233,334,11.5
2809,Amelia County,1,117,154,9.3
2810,Amherst County,2,325,567,12.0
2811,Appomattox County,2,166,299,12.6
2812,Arlington County,1,"1,858","2,948",7.6
2813,Augusta County,2,669,"1,003",7.3
2814,Bath County,7,73,104,9.9
2815,Bedford County,2,678,"1,166",8.6
2816,Bland County,7,152,177,13.4
2817,Botetourt County,2,291,456,5.7
2818,Brunswick County,4,239,381,20.9
2819,Buchanan County,10,509,548,21.7
2820,Buckingham County,2,195,219,16.8
2821,Campbell County,2,609,"1,142",10.8
2822,Caroline County,1,238,345,9.6
2823,Carroll County,9,596,"1,047",13.9
2824,Charles City County,1,89,185,12.5
2825,Charlotte County,7,173,242,19.3
2826,Chesterfield County,1,"2,529","3,846",6.6
2827,Clarke County,1,109,162,6.3
2828,Craig County,2,60,75,11.2
2829,Culpeper County,1,322,464,9.2
2830,Cumberland County,4,94,121,13.8
2831,Dickenson County,8,310,395,24.2
2832,Dinwiddie County,1,250,371,10.7
2833,Essex County,4,137,175,16.2
2834,Fairfax County,1,"8,919","14,444",6.0
2835,Fauquier County,1,464,684,6.1
2836,Floyd County,2,256,302,11.4
2837,Fluvanna County,2,200,271,7.3
2838,Franklin County,2,725,"1,033",11.5
2839,Frederick County,2,666,964,6.5
2840,Giles County,2,329,461,11.4
2841,Gloucester County,1,338,455,8.6
2842,Goochland County,1,155,234,6.2
2843,Grayson County,12,407,615,18.8
2844,Greene County,2,153,202,7.6
2845,Greensville County,4,134,194,24.5
2846,Halifax County,6,807,"1,253",17.1
2847,Hanover County,1,780,"1,253",5.1
2848,Henrico County,1,"2,623","4,452",8.7
2849,Henry County,5,"1,401","1,737",14.6
2850,Highland County,7,34,37,12.4
2851,Isle of Wight County,1,321,421,9.1
2852,James City County,1,456,631,5.8
2853,King and Queen County,4,81,107,11.7
2854,King George County,4,162,219,5.9
2855,King William County,1,132,217,6.9
2856,Lancaster County,12,282,311,13.3
2857,Lee County,7,369,461,27.1
2858,Loudoun County,1,"1,409","2,800",3.1
2859,Louisa County,4,304,420,9.5
2860,Lunenburg County,12,185,249,19.2
2861,Madison County,4,115,155,9.3
2862,Mathews County,1,93,133,8.8
2863,Mecklenburg County,9,475,847,17.3
2864,Middlesex County,4,95,126,13.8
2865,Montgomery County,2,"1,026","1,390",20.5
2866,Nelson County,2,162,240,11.8
2867,New Kent County,1,133,232,5.0
2868,Northampton County,4,149,214,18.1
2869,Northumberland County,12,247,285,12.7
2870,Nottoway County,4,179,255,21.5
2871,Orange County,4,260,357,9.7
2872,Page County,4,309,419,11.3
2873,Patrick County,7,312,518,15.5
2874,Pittsylvania County,5,"1,052","1,955",15.1
2875,Powhatan County,1,203,298,5.4
2876,Prince Edward County,4,271,354,20.6
2877,Prince George County,1,336,487,8.3
2878,Prince William County,1,"2,698","4,058",6.1
2879,Pulaski County,2,786,"1,289",14.6
2880,Rappahannock County,1,69,91,8.5
2881,Richmond County,12,148,146,17.8
2882,Roanoke County,2,794,"1,169",6.5
2883,Rockbridge County,6,229,328,11.5
2884,Rockingham County,2,607,917,8.1
2885,Russell County,9,610,780,20.0
2886,Scott County,2,372,462,14.8
2887,Shenandoah County,4,329,469,10.3
2888,Smyth County,11,683,"1,016",16.5
2889,Southampton County,4,205,245,13.3
2890,Spotsylvania County,1,823,"1,099",6.6
2891,Stafford County,1,813,"1,151",5.4
2892,Surry County,4,98,117,11.9
2893,Sussex County,1,165,216,21.6
2894,Tazewell County,8,966,978,21.7
2895,Warren County,1,335,482,9.7
2896,Washington County,2,888,"1,323",12.3
2897,Westmoreland County,4,272,322,15.9
2898,Wise County,8,678,790,20.4
2899,Wythe County,6,609,998,12.8
2900,York County,1,521,712,5.1
2901,Alexandria city,1,"1,430","2,268",8.6
2902,Bristol city,2,236,325,21.8
2903,Buena Vista city,6,73,116,17.2
2904,Charlottesville city,2,568,704,22.1
2905,Chesapeake city,1,"2,220","3,047",8.3
2906,Colonial Heights city,1,193,283,9.4
2907,Covington city,6,114,146,14.5
2908,Danville city,5,930,"1,529",23.5
2909,Emporia city,4,73,104,20.5
2910,Fairfax city,1,168,207,7.1
2911,Falls Church city,1,99,172,3.5
2912,Franklin city,4,111,159,19.2
2913,Fredericksburg city,1,236,387,16.9
2914,Galax city,9,114,196,19.0
2915,Hampton city,1,"1,728","2,327",13.8
2916,Harrisonburg city,2,446,569,24.9
2917,Hopewell city,1,279,475,19.3
2918,Lexington city,6,79,94,22.9
2919,Lynchburg city,2,741,"1,277",16.8
2920,Manassas city,1,321,637,7.4
2921,Manassas Park city,1,80,112,6.3
2922,Martinsville city,5,530,531,19.5
2923,Newport News city,1,"2,148","3,066",15.1
2924,Norfolk city,1,"3,025","4,186",19.0
2925,Norton city,8,61,71,19.3
2926,Petersburg city,1,472,793,21.6
2927,Poquoson city,1,107,143,5.3
2928,Portsmouth city,1,"1,448","1,961",18.5
2929,Radford city,2,240,315,30.5
2930,Richmond city,1,"2,504","4,105",19.2
2931,Roanoke city,2,"1,138","1,706",19.5
2932,Salem city,2,248,380,9.4
2933,Staunton city,2,249,345,11.3
2934,Suffolk city,1,730,990,9.8
2935,Virginia Beach city,1,"4,546","6,274",7.3
2936,Waynesboro city,2,235,355,12.3
2937,Williamsburg city,1,201,273,18.2
2938,Winchester city,2,285,429,13.3
2939,Adams County,5,661,717,16.8
2940,Asotin County,2,531,557,13.8
2941,Benton County,2,"4,101","4,506",10.6
2942,Chelan County,2,"2,575","2,891",12.2
2943,Clallam County,8,"1,938","2,060",11.2
2944,Clark County,1,"9,310","12,508",9.2
2945,Columbia County,2,154,158,12.3
2946,Cowlitz County,2,"2,989","4,052",12.6
2947,Douglas County,2,"1,200","1,286",10.9
2948,Ferry County,12,306,329,18.0
2949,Franklin County,2,"1,795","1,905",13.5
2950,Garfield County,7,53,55,12.9
2951,Grant County,8,"3,009","3,214",13.9
2952,Grays Harbor County,5,"2,331","2,663",13.1
2953,Island County,3,"1,579","1,789",7.3
2954,Jefferson County,6,686,780,12.6
2955,King County,1,"38,077","45,801",7.7
2956,Kitsap County,2,"5,827","6,447",7.5
2957,Kittitas County,3,"1,032","1,155",14.0
2958,Klickitat County,4,762,"1,052",13.5
2959,Lewis County,3,"2,377","2,541",12.2
2960,Lincoln County,7,238,267,9.1
2961,Mason County,3,"1,452","1,608",12.8
2962,Okanogan County,6,"1,837","1,924",16.4
2963,Pacific County,9,660,731,13.5
2964,Pend Oreille County,2,382,426,16.1
2965,Pierce County,1,"18,546","22,216",9.4
2966,San Juan County,12,324,367,8.1
2967,Skagit County,2,"3,289","3,718",11.2
2968,Skamania County,1,320,551,10.4
2969,Snohomish County,1,"13,870","15,849",7.0
2970,Spokane County,2,"11,933","14,133",12.9
2971,Stevens County,2,"1,385","1,607",14.9
2972,Thurston County,2,"5,399","6,297",9.1
2973,Wahkiakum County,4,121,133,10.8
2974,Walla Walla County,2,"1,684","1,816",12.7
2975,Whatcom County,2,"4,933","5,806",12.7
2976,Whitman County,5,783,829,26.3
2977,Yakima County,2,"9,410","10,558",16.7
2978,Barbour County,6,531,466,18.4
2979,Berkeley County,2,"1,440","1,632",11.0
2980,Boone County,2,669,528,18.9
2981,Braxton County,7,433,387,18.3
2982,Brooke County,2,546,605,12.0
2983,Cabell County,2,"2,159","2,246",18.5
2984,Calhoun County,7,305,307,21.6
2985,Clay County,2,310,272,22.5
2986,Doddridge County,8,171,168,18.8
2987,Fayette County,2,"1,327","1,196",20.6
2988,Gilmer County,10,204,168,25.5
2989,Grant County,12,293,265,13.2
2990,Greenbrier County,6,997,922,17.2
2991,Hampshire County,2,307,362,14.6
2992,Hancock County,2,721,710,12.5
2993,Hardy County,6,257,264,14.2
2994,Harrison County,8,"1,813","1,708",11.1
2995,Jackson County,6,757,719,16.7
2996,Jefferson County,1,793,796,9.9
2997,Kanawha County,2,"4,834","4,683",16.3
2998,Lewis County,9,438,423,19.5
2999,Lincoln County,2,600,570,19.7
3000,Logan County,5,"1,037",810,21.9
3001,McDowell County,10,735,580,33.8
3002,Marion County,5,"1,514","1,404",14.6
3003,Marshall County,2,916,980,13.7
3004,Mason County,5,858,799,15.5
3005,Mercer County,5,"1,312","1,327",18.7
3006,Mineral County,2,709,737,12.5
3007,Mingo County,9,714,606,27.3
3008,Monongalia County,2,"1,800","1,672",19.1
3009,Monroe County,7,288,274,15.7
3010,Morgan County,7,287,309,10.5
3011,Nicholas County,6,759,651,18.8
3012,Ohio County,2,"1,010","1,006",14.1
3013,Pendleton County,7,315,186,13.5
3014,Pleasants County,7,194,200,13.0
3015,Pocahontas County,10,272,280,16.1
3016,Preston County,2,748,720,14.3
3017,Putnam County,2,"1,267","1,165",8.9
3018,Raleigh County,2,"2,019","1,729",17.4
3019,Randolph County,8,778,775,16.8
3020,Ritchie County,7,291,319,17.9
3021,Roane County,7,562,614,19.4
3022,Summers County,6,357,328,23.5
3023,Taylor County,5,384,391,16.7
3024,Tucker County,7,212,196,15.3
3025,Tyler County,9,230,234,15.4
3026,Upshur County,9,625,595,17.5
3027,Wayne County,2,933,"1,024",19.6
3028,Webster County,12,239,226,21.8
3029,Wetzel County,6,573,578,16.3
3030,Wirt County,2,181,174,17.5
3031,Wood County,2,"1,938","2,102",14.1
3032,Wyoming County,7,666,550,22.9
3033,Adams County,6,390,461,11.6
3034,Ashland County,11,470,537,17.8
3035,Barron County,6,972,"1,198",8.9
3036,Bayfield County,6,406,447,10.3
3037,Brown County,2,"3,697","5,218",9.9
3038,Buffalo County,6,283,366,9.5
3039,Burnett County,4,298,419,12.6
3040,Calumet County,2,644,973,5.4
3041,Chippewa County,2,"1,249","1,679",8.8
3042,Clark County,6,745,"1,037",13.5
3043,Columbia County,2,"1,061","1,326",6.7
3044,Crawford County,9,330,475,11.6
3045,Dane County,2,"6,101","7,571",9.4
3046,Dodge County,3,"1,495","2,361",8.0
3047,Door County,6,643,800,9.3
3048,Douglas County,2,972,"1,119",11.5
3049,Dunn County,3,758,936,11.7
3050,Eau Claire County,2,"1,685","2,114",10.6
3051,Florence County,8,107,123,10.9
3052,Fond du Lac County,2,"1,672","2,302",7.3
3053,Forest County,12,262,306,16.3
3054,Grant County,5,901,"1,280",13.4
3055,Green County,2,627,832,6.4
3056,Green Lake County,6,420,577,11.7
3057,Iowa County,2,382,490,9.5
3058,Iron County,12,222,254,12.7
3059,Jackson County,6,445,562,12.4
3060,Jefferson County,3,"1,246","1,708",7.1
3061,Juneau County,9,630,837,13.4
3062,Kenosha County,1,"3,231","4,173",9.8
3063,Kewaunee County,2,307,449,7.4
3064,La Crosse County,2,"1,946","2,319",11.8
3065,Lafayette County,7,268,363,11.3
3066,Langlade County,6,492,674,13.0
3067,Lincoln County,5,665,817,9.1
3068,Manitowoc County,5,"1,511","2,398",8.8
3069,Marathon County,2,"2,346","2,962",8.2
3070,Marinette County,5,979,"1,351",11.5
3071,Marquette County,7,391,498,10.0
3072,Menominee County,5,144,182,25.3
3073,Milwaukee County,1,"20,228","25,447",16.9
3074,Monroe County,6,791,"1,025",10.9
3075,Oconto County,2,680,"1,055",9.3
3076,Oneida County,9,962,"1,102",8.9
3077,Outagamie County,2,"2,688","3,802",7.1
3078,Ozaukee County,1,"1,177","1,623",4.5
3079,Pepin County,4,136,172,9.0
3080,Pierce County,1,576,758,9.8
3081,Polk County,4,754,"1,212",8.6
3082,Portage County,5,"1,329","1,638",11.8
3083,Price County,12,420,464,14.9
3084,Racine County,2,"3,871","5,527",12.4
3085,Richland County,6,330,408,12.5
3086,Rock County,2,"3,422","4,570",12.3
3087,Rusk County,6,407,470,12.3
3088,St. Croix County,1,902,"1,482",5.9
3089,Sauk County,5,980,"1,252",10.2
3090,Sawyer County,12,442,509,12.7
3091,Shawano County,5,788,"1,068",9.6
3092,Sheboygan County,2,"1,598","2,458",8.1
3093,Taylor County,6,408,544,9.7
3094,Trempealeau County,6,605,791,8.9
3095,Vernon County,6,530,673,14.1
3096,Vilas County,12,541,611,11.2
3097,Walworth County,3,"1,550","2,132",9.5
3098,Washburn County,11,404,486,12.8
3099,Washington County,1,"1,933","2,698",5.1
3100,Waukesha County,1,"5,648","7,596",4.7
3101,Waupaca County,6,923,"1,288",8.8
3102,Waushara County,6,488,651,12.4
3103,Winnebago County,2,"2,438","3,414",9.7
3104,Wood County,5,"1,563","1,964",10.7
3105,Albany County,5,599,632,16.0
3106,Big Horn County,12,262,250,12.1
3107,Campbell County,8,596,567,7.7
3108,Carbon County,9,330,346,11.7
3109,Converse County,6,253,248,9.2
3110,Crook County,10,113,108,8.0
3111,Fremont County,8,895,912,12.9
3112,Goshen County,9,222,243,13.0
3113,Hot Springs County,9,94,108,10.9
3114,Johnson County,9,130,136,9.0
3115,Laramie County,2,"1,472","1,616",9.5
3116,Lincoln County,9,279,295,7.0
3117,Natrona County,2,"1,395","1,369",9.9
3118,Niobrara County,12,44,48,15.1
3119,Park County,11,566,600,10.3
3120,Platte County,11,172,173,11.5
3121,Sheridan County,8,574,574,8.5
3122,Sublette County,10,103,98,7.2
3123,Sweetwater County,8,801,808,8.3
3124,Teton County,8,335,372,6.0
3125,Uinta County,8,410,400,8.5
3126,Washakie County,11,194,182,11.1
3127,Weston County,9,137,138,10.5
